target_id,outer_fold,method,selected_k,selected_receptors,outer_bedroc_alpha20,gain_over_single,uses_outer_labels_for_selection
EGFR,1,single,1,EGFR_3W32_aligned,0.21913626939443434,0.0,False
EGFR,1,fixed_k2,2,EGFR_3W32_aligned+EGFR_3POZ_aligned,0.13617682513149032,-0.08295944426294402,False
EGFR,1,fixed_k3,3,EGFR_3W32_aligned+EGFR_3POZ_aligned+EGFR_3W33_aligned,0.12936785310986174,-0.0897684162845726,False
EGFR,1,maximum_inner_mean,2,EGFR_3W32_aligned+EGFR_3POZ_aligned,0.13617682513149032,-0.08295944426294402,False
EGFR,1,one_standard_error_smallest_k,1,EGFR_3W32_aligned,0.21913626939443434,0.0,False
EGFR,1,sequential_paired_marginal_lcb,2,EGFR_3W32_aligned+EGFR_3POZ_aligned,0.13617682513149032,-0.08295944426294402,False
EGFR,1,outer_oracle_k,1,EGFR_3W32_aligned,0.21913626939443434,0.0,True
EGFR,2,single,1,EGFR_3W32_aligned,0.3330307057333433,0.0,False
EGFR,2,fixed_k2,2,EGFR_3W32_aligned+EGFR_3W33_aligned,0.33288523619298643,-0.00014546954035687953,False
EGFR,2,fixed_k3,3,EGFR_3W32_aligned+EGFR_3POZ_aligned+EGFR_3W33_aligned,0.3406657900699965,0.007635084336653164,False
EGFR,2,maximum_inner_mean,1,EGFR_3W32_aligned,0.3330307057333433,0.0,False
EGFR,2,one_standard_error_smallest_k,1,EGFR_3W32_aligned,0.3330307057333433,0.0,False
EGFR,2,sequential_paired_marginal_lcb,1,EGFR_3W32_aligned,0.3330307057333433,0.0,False
EGFR,2,outer_oracle_k,3,EGFR_3W32_aligned+EGFR_3POZ_aligned+EGFR_3W33_aligned,0.3406657900699965,0.007635084336653164,True
EGFR,3,single,1,EGFR_3W32_aligned,0.6002015062903859,0.0,False
EGFR,3,fixed_k2,2,EGFR_3W32_aligned+EGFR_3POZ_aligned,0.607503522565594,0.007302016275208101,False
EGFR,3,fixed_k3,3,EGFR_3W32_aligned+EGFR_3POZ_aligned+EGFR_3W33_aligned,0.6068406897248902,0.006639183434504314,False
EGFR,3,maximum_inner_mean,1,EGFR_3W32_aligned,0.6002015062903859,0.0,False
EGFR,3,one_standard_error_smallest_k,1,EGFR_3W32_aligned,0.6002015062903859,0.0,False
EGFR,3,sequential_paired_marginal_lcb,1,EGFR_3W32_aligned,0.6002015062903859,0.0,False
EGFR,3,outer_oracle_k,2,EGFR_3W32_aligned+EGFR_3POZ_aligned,0.607503522565594,0.007302016275208101,True
EGFR,4,single,1,EGFR_3W33_aligned,0.43560706238324315,0.0,False
EGFR,4,fixed_k2,2,EGFR_3W32_aligned+EGFR_3POZ_aligned,0.3545438678715897,-0.08106319451165345,False
EGFR,4,fixed_k3,3,EGFR_3W32_aligned+EGFR_3POZ_aligned+EGFR_3W33_aligned,0.3311489346278676,-0.10445812775537555,False
EGFR,4,maximum_inner_mean,3,EGFR_3W32_aligned+EGFR_3POZ_aligned+EGFR_3W33_aligned,0.3311489346278676,-0.10445812775537555,False
EGFR,4,one_standard_error_smallest_k,1,EGFR_3W33_aligned,0.43560706238324315,0.0,False
EGFR,4,sequential_paired_marginal_lcb,1,EGFR_3W33_aligned,0.43560706238324315,0.0,False
EGFR,4,outer_oracle_k,1,EGFR_3W33_aligned,0.43560706238324315,0.0,True
EGFR,5,single,1,EGFR_3W32_aligned,0.2699386305851869,0.0,False
EGFR,5,fixed_k2,2,EGFR_3W32_aligned+EGFR_3W33_aligned,0.28615469894212536,0.01621606835693845,False
