target_id,seed_id,method,mean_outer_bedroc_alpha20,gain_over_median_selected_single,positive_fold_count
EGFR,seed0,single,0.36176007999974014,0.0,0
EGFR,seed0,fixed_k2,0.3293802957749471,-0.032379784224793054,0
EGFR,seed0,fixed_k3,0.3368494090699488,-0.02491067092979135,2
EGFR,seed0,one_standard_error_smallest_k,0.36176007999974014,0.0,0
EGFR,seed1,single,0.3540437561416223,0.0,0
EGFR,seed1,fixed_k2,0.3306689320205291,-0.023374824121093207,2
EGFR,seed1,fixed_k3,0.3343244503851529,-0.019719305756469428,2
EGFR,seed1,one_standard_error_smallest_k,0.3540437561416223,0.0,0
EGFR,seed2,single,0.40631249680067005,0.0,0
EGFR,seed2,fixed_k2,0.35594615569418425,-0.05036634110648582,1
EGFR,seed2,fixed_k3,0.3669841155500926,-0.039328381250577485,1
EGFR,seed2,one_standard_error_smallest_k,0.40631249680067005,0.0,0
FA10,seed0,single,0.7291288205006782,0.0,0
FA10,seed0,fixed_k2,0.7599404557112438,0.03081163521056556,5
FA10,seed0,fixed_k3,0.7336891300654893,0.0045603095648111495,2
FA10,seed0,one_standard_error_smallest_k,0.7374998409287048,0.008371020428026687,2
FA10,seed1,single,0.7224228480440487,0.0,0
FA10,seed1,fixed_k2,0.7496680879931408,0.02724523994909219,4
FA10,seed1,fixed_k3,0.7185821719363269,-0.003840676107721741,2
FA10,seed1,one_standard_error_smallest_k,0.7311410355473993,0.008718187503350638,2
FA10,seed2,single,0.7197335220829923,0.0,0
FA10,seed2,fixed_k2,0.7464043907682268,0.026670868685234474,5
FA10,seed2,fixed_k3,0.7169551895469499,-0.0027783325360423603,3
FA10,seed2,one_standard_error_smallest_k,0.7268938912749145,0.007160369191922267,2
