target_id,outer_fold,from_k,to_k,inner_mean_gain,inner_gain_se,outer_gain,sign_correct
EGFR,1,1,2,0.04605123395526586,0.018252603871985528,-0.08295944426294402,0
EGFR,1,2,3,-0.008581624290443698,0.00962164863292161,-0.006808972021628584,1
EGFR,2,1,2,-0.013519295642977306,0.009305223857224128,-0.00014546954035687953,1
EGFR,2,2,3,-0.0802077205607377,0.03851155295181334,0.0077805538770100435,0
EGFR,3,1,2,-0.09219835084860843,0.028537503105673434,0.007302016275208101,0
EGFR,3,2,3,-0.03587854823363427,0.005545248645625462,-0.0006628328407037865,1
EGFR,4,1,2,-0.021688527083107645,0.02680162278101317,-0.08106319451165345,1
EGFR,4,2,3,0.02865339359562615,0.019929023593162894,-0.023394933243722105,0
EGFR,5,1,2,-0.04299379061928538,0.02054442864933451,0.01621606835693845,0
EGFR,5,2,3,-0.04235820168285234,0.009493522253294646,-0.007347130592664397,1
FA10,1,1,2,0.042187186180472014,0.02128368463144102,0.04212462729677113,1
FA10,1,2,3,0.011730969661577864,0.013445764956741517,-0.09551235922812162,0
FA10,2,1,2,0.0051521716579238834,0.023770818541674076,0.003012291658871402,1
FA10,2,2,3,0.00411500179871734,0.023048978286366484,-0.006958725292576906,0
FA10,3,1,2,0.051251329849516296,0.028458569944167088,0.0229630993233364,1
FA10,3,2,3,0.01565141752680584,0.00719482194485772,-0.016421278618369284,0
FA10,4,1,2,0.024458639211142514,0.015379656033273265,0.061172656376500156,1
FA10,4,2,3,-0.06466479493085574,0.059998560332253086,-0.01821073715645427,1
FA10,5,1,2,0.06713929459357264,0.03294437786183852,0.03283189770027417,1
FA10,5,2,3,-0.05510214937831629,0.0279431287482919,-0.02618775607486523,1
