target_id,method,mean_outer_bedroc_alpha20,std_outer_bedroc_alpha20,gain_over_single,mean_selected_k,selected_k_values
EGFR,single,0.37158283487731875,0.1511814843835449,0.0,1.0,1|1|1|1|1
EGFR,fixed_k2,0.34345283014075717,0.17044344474141912,-0.02813000473656156,2.0,2|2|2|2|2
EGFR,fixed_k3,0.3373661671764154,0.17274147442467017,-0.03421666770090333,3.0,3|3|3|3|3
EGFR,maximum_inner_mean,0.3340993204736548,0.16890095344607858,-0.03748351440366392,1.6,2|1|1|3|1
EGFR,one_standard_error_smallest_k,0.37158283487731875,0.1511814843835449,0.0,1.0,1|1|1|1|1
EGFR,sequential_paired_marginal_lcb,0.3549909460247299,0.17480199162201393,-0.016591888852588804,1.2,2|1|1|1|1
EGFR,outer_oracle_k,0.3778134686710787,0.15087855546447496,0.006230633793759943,1.8,1|3|2|1|2
FA10,single,0.726623760953793,0.18304228880850273,0.0,1.0,1|1|1|1|1
FA10,fixed_k2,0.7590446754249436,0.17487383914452853,0.032420914471150655,2.0,2|2|2|2|2
FA10,fixed_k3,0.726386504150866,0.20976417445591047,-0.00023725680292681074,3.0,3|3|3|3|3
FA10,maximum_inner_mean,0.73526620279713,0.21379429498874974,0.00864244184333709,2.6,3|3|3|2|2
FA10,one_standard_error_smallest_k,0.7416150659532019,0.16852353326148914,0.014991304999409061,1.4,2|1|1|1|2
FA10,sequential_paired_marginal_lcb,0.7551579613694954,0.17178621320377704,0.028534200415702517,2.0,2|1|3|2|2
FA10,outer_oracle_k,0.7590446754249436,0.17487383914452853,0.032420914471150655,2.0,2|2|2|2|2
