target_id,ligand_id,label,selection_role,receptor_id,seed_count,20260821_representative_score,20260822_representative_score,20260823_representative_score,median_representative_score,minimum_representative_score,maximum_representative_score,seed_score_range,primary_ranking_score,sensitivity_ranking_score,representative_method,status
EGFR,EGFR_active_L000001,active,development_train,1M17,3,-8.889,-8.827,-8.83,-8.83,-8.889,-8.827,0.06199999999999939,8.83,8.889,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,1XKK,3,-9.851,-9.961,-9.849,-9.851,-9.961,-9.849,0.1120000000000001,9.851,9.961,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,2ITW,3,-8.604,-8.727,-8.744,-8.727,-8.744,-8.604,0.14000000000000057,8.727,8.744,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,2RGP,3,-9.81,-9.813,-9.819,-9.813,-9.819,-9.81,0.009000000000000341,9.813,9.819,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,3BEL,3,-10.111,-10.173,-10.138,-10.138,-10.173,-10.111,0.06199999999999939,10.138,10.173,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,3POZ,3,-9.544,-9.518,-9.534,-9.534,-9.544,-9.518,0.0259999999999998,9.534,9.544,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,3W2S,3,-10.349,-10.352,-10.371,-10.352,-10.371,-10.349,0.02200000000000024,10.352,10.371,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,3W32,3,-9.915,-9.882,-9.859,-9.882,-9.915,-9.859,0.05599999999999916,9.882,9.915,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,3W33,3,-9.981,-10.016,-9.981,-9.981,-10.016,-9.981,0.03500000000000014,9.981,10.016,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,4G5J,3,-9.138,-9.103,-9.099,-9.103,-9.138,-9.099,0.0389999999999997,9.103,9.138,pose_rank_1,ok
EGFR,EGFR_active_L000001,active,development_train,4I23,3,-8.741,-8.914,-8.847,-8.847,-8.914,-8.741,0.17300000000000004,8.847,8.914,pose_rank_1,ok
