target_id,ligand_id,label,selection_role,1M17,1XKK,2ITW,2RGP,3BEL,3POZ,3W2S,3W32,3W33,4G5J,4I23,4JQ7
EGFR,EGFR_active_L000001,active,development_train,-8.83,-9.851,-8.727,-9.813,-10.138,-9.534,-10.352,-9.882,-9.981,-9.103,-8.847,-9.083
EGFR,EGFR_active_L000003,active,development_train,-7.981,-8.635,-7.995,-8.804,-8.859,-8.417,-8.895,-8.576,-8.54,-8.153,-8.152,-8.526
EGFR,EGFR_active_L000004,active,development_train,-8.252,-8.969,-7.683,-8.97,-9.015,-8.569,-9.086,-8.844,-8.874,-8.382,-8.4,-8.379
EGFR,EGFR_active_L000005,active,development_train,-8.178,-9.474,-7.413,-9.369,-9.493,-9.876,-9.595,-9.948,-10.019,-7.361,-8.23,-8.105
EGFR,EGFR_active_L000008,active,development_train,-8.698,-9.761,-8.424,-9.802,-9.552,-9.904,-9.163,-9.918,-9.667,-8.617,-8.95,-8.81
EGFR,EGFR_active_L000009,active,development_train,-8.615,-9.836,-7.873,-9.847,-9.813,-9.697,-9.444,-10.087,-9.701,-8.486,-8.78,-8.54
EGFR,EGFR_active_L000010,active,development_train,-8.786,-8.884,-7.805,-8.567,-8.684,-8.938,-8.826,-9.081,-9.007,-7.793,-7.718,-8.004
EGFR,EGFR_active_L000021,active,development_train,-7.868,-8.467,-7.761,-8.651,-8.706,-8.311,-8.901,-8.545,-8.805,-7.842,-8.088,-8.146
EGFR,EGFR_active_L000029,active,development_train,-7.552,-9.192,-7.703,-8.95,-9.071,-9.004,-8.974,-9.023,-8.911,-7.667,-7.716,-8.047
EGFR,EGFR_active_L000030,active,development_train,-7.749,-8.898,-7.93,-8.978,-8.986,-8.689,-8.884,-9.378,-9.033,-7.46,-7.626,-7.862
EGFR,EGFR_active_L000031,active,development_train,-8.037,-8.772,-7.593,-9.313,-9.176,-8.699,-8.582,-9.144,-8.27,-7.757,-7.863,-7.994
EGFR,EGFR_active_L000032,active,development_train,-8.14,-8.834,-7.985,-9.304,-8.958,-8.934,-8.861,-8.869,-8.569,-8.02,-8.624,-8.231
EGFR,EGFR_active_L000043,active,development_train,-8.919,-9.096,-7.639,-8.915,-8.882,-9.319,-9.149,-9.262,-8.801,-8.596,-9.261,-8.894
EGFR,EGFR_active_L000044,active,development_train,-7.377,-9.06,-7.668,-8.915,-9.067,-9.248,-8.458,-8.794,-9.272,-7.24,-7.652,-7.504
