target_id,ligand_id,label,selection_role,1M17,1XKK,2ITW,2RGP,3BEL,3POZ,3W2S,3W32,3W33,4G5J,4I23,4JQ7
EGFR,EGFR_active_L000001,active,development_train,-8.889,-9.961,-8.744,-9.819,-10.173,-9.544,-10.371,-9.915,-10.016,-9.138,-8.914,-9.091
EGFR,EGFR_active_L000003,active,development_train,-8.001,-8.643,-8.0,-8.812,-8.892,-8.632,-8.906,-8.691,-8.559,-8.158,-8.154,-8.548
EGFR,EGFR_active_L000004,active,development_train,-8.255,-8.978,-7.701,-8.979,-9.017,-8.572,-9.112,-8.851,-8.881,-8.391,-8.402,-8.427
EGFR,EGFR_active_L000005,active,development_train,-8.661,-9.678,-7.681,-9.539,-9.567,-9.951,-9.77,-9.993,-10.067,-7.405,-8.36,-8.35
EGFR,EGFR_active_L000008,active,development_train,-8.752,-9.835,-8.45,-9.838,-9.574,-9.976,-9.216,-9.961,-9.674,-8.67,-9.097,-8.866
EGFR,EGFR_active_L000009,active,development_train,-8.669,-9.91,-7.902,-9.9,-9.815,-9.725,-9.659,-10.27,-9.73,-8.494,-8.822,-8.562
EGFR,EGFR_active_L000010,active,development_train,-8.81,-8.912,-7.94,-8.732,-8.769,-9.007,-8.886,-9.106,-9.054,-7.818,-7.777,-8.219
EGFR,EGFR_active_L000021,active,development_train,-7.896,-8.475,-7.768,-8.688,-8.708,-8.342,-8.939,-8.604,-8.806,-8.007,-8.112,-8.155
EGFR,EGFR_active_L000029,active,development_train,-7.566,-9.222,-7.706,-9.077,-9.19,-9.151,-9.024,-9.035,-8.919,-7.672,-7.757,-8.062
EGFR,EGFR_active_L000030,active,development_train,-7.771,-8.947,-7.953,-9.114,-9.044,-9.147,-8.934,-9.436,-9.635,-7.565,-7.693,-7.897
EGFR,EGFR_active_L000031,active,development_train,-8.057,-8.806,-7.598,-9.332,-9.197,-8.705,-8.633,-9.157,-8.346,-7.856,-7.895,-8.004
EGFR,EGFR_active_L000032,active,development_train,-8.181,-8.901,-8.013,-9.325,-9.151,-8.938,-8.862,-8.888,-8.584,-8.021,-8.629,-8.352
EGFR,EGFR_active_L000043,active,development_train,-8.936,-9.12,-8.349,-9.355,-8.912,-9.359,-9.187,-9.27,-8.833,-8.604,-9.283,-8.904
EGFR,EGFR_active_L000044,active,development_train,-7.576,-9.068,-7.754,-8.97,-9.156,-9.3,-8.617,-8.799,-9.318,-7.339,-7.728,-7.768
EGFR,EGFR_active_L000047,active,development_train,-8.612,-8.808,-8.092,-8.718,-9.122,-9.065,-9.231,-8.983,-8.987,-8.04,-8.545,-8.734
EGFR,EGFR_active_L000049,active,development_train,-9.886,-10.868,-9.412,-11.267,-11.352,-10.753,-10.148,-10.659,-11.37,-9.208,-9.564,-9.829
EGFR,EGFR_active_L000056,active,development_train,-7.652,-8.46,-7.35,-8.733,-8.799,-8.827,-8.605,-8.59,-8.567,-7.506,-8.004,-7.553
EGFR,EGFR_active_L000060,active,development_train,-8.257,-9.885,-8.177,-10.267,-10.354,-9.585,-9.857,-10.14,-10.516,-7.92,-8.176,-8.838
EGFR,EGFR_active_L000063,active,development_train,-8.474,-9.39,-7.784,-8.876,-8.807,-9.345,-9.055,-9.301,-9.241,-7.987,-8.463,-8.452
