target_id,ligand_id,label,selection_role,receptor_id,seed_count,seed0_representative_score,seed1_representative_score,seed2_representative_score,median_representative_score,minimum_representative_score,maximum_representative_score,seed_score_range,primary_ranking_score,sensitivity_ranking_score,representative_method,status
MK14,MK14_active_L000002,active,development_validation,MK14_1A9U_aligned,3,-7.563,-7.539,-7.563,-7.563,-7.563,-7.539,0.02400000000000002,7.563,7.563,pose_rank_1,ok
MK14,MK14_active_L000002,active,development_validation,MK14_2QD9_reference,3,-7.245,-7.521,-7.677,-7.521,-7.677,-7.245,0.4319999999999995,7.521,7.677,pose_rank_1,ok
MK14,MK14_active_L000002,active,development_validation,MK14_3K3J_aligned,3,-7.205,-7.216,-7.218,-7.216,-7.218,-7.205,0.0129999999999999,7.216,7.218,pose_rank_1,ok
MK14,MK14_active_L000002,active,development_validation,MK14_3KQ7_aligned,3,-7.552,-7.536,-7.534,-7.536,-7.552,-7.534,0.017999999999999794,7.536,7.552,pose_rank_1,ok
MK14,MK14_active_L000003,active,development_validation,MK14_1A9U_aligned,3,-9.156,-9.129,-9.135,-9.135,-9.156,-9.129,0.027000000000001023,9.135,9.156,pose_rank_1,ok
MK14,MK14_active_L000003,active,development_validation,MK14_2QD9_reference,3,-10.9,-10.78,-9.275,-10.78,-10.9,-9.275,1.625,10.78,10.9,pose_rank_1,ok
MK14,MK14_active_L000003,active,development_validation,MK14_3K3J_aligned,3,-11.07,-11.04,-11.07,-11.07,-11.07,-11.04,0.030000000000001137,11.07,11.07,pose_rank_1,ok
MK14,MK14_active_L000003,active,development_validation,MK14_3KQ7_aligned,3,-11.17,-11.17,-11.15,-11.17,-11.17,-11.15,0.019999999999999574,11.17,11.17,pose_rank_1,ok
MK14,MK14_active_L000004,active,development_validation,MK14_1A9U_aligned,3,-6.584,-6.763,-6.689,-6.689,-6.763,-6.584,0.17900000000000027,6.689,6.763,pose_rank_1,ok
MK14,MK14_active_L000004,active,development_validation,MK14_2QD9_reference,3,-6.268,-6.328,-6.248,-6.268,-6.328,-6.248,0.08000000000000007,6.268,6.328,pose_rank_1,ok
MK14,MK14_active_L000004,active,development_validation,MK14_3K3J_aligned,3,-5.814,-5.909,-5.789,-5.814,-5.909,-5.789,0.1200000000000001,5.814,5.909,pose_rank_1,ok
