target_id,ligand_id,label,selection_role,MK14_1A9U_aligned,MK14_2QD9_reference,MK14_3K3J_aligned,MK14_3KQ7_aligned
MK14,MK14_active_L000002,active,development_validation,-7.563,-7.521,-7.216,-7.536
MK14,MK14_active_L000003,active,development_validation,-9.135,-10.78,-11.07,-11.17
MK14,MK14_active_L000004,active,development_validation,-6.689,-6.268,-5.814,-6.479
MK14,MK14_active_L000005,active,development_train,-8.657,-8.189,-9.145,-9.42
MK14,MK14_active_L000008,active,development_train,-10.3,-9.022,-10.81,-11.96
MK14,MK14_active_L000018,active,development_train,-9.017,-10.74,-8.333,-11.39
MK14,MK14_active_L000019,active,development_validation,-9.194,-9.274,-9.385,-8.325
MK14,MK14_active_L000036,active,development_train,-10.54,-9.014,-11.4,-12.67
MK14,MK14_active_L000040,active,development_train,-9.368,-9.546,-9.603,-9.443
MK14,MK14_active_L000043,active,development_train,-8.654,-8.634,-8.254,-6.878
MK14,MK14_active_L000046,active,development_train,-9.031,-10.07,-9.022,-8.542
MK14,MK14_active_L000047,active,development_validation,-10.45,-8.982,-11.84,-11.91
MK14,MK14_active_L000051,active,development_train,-9.847,-9.507,-9.364,-9.13
MK14,MK14_active_L000052,active,development_validation,-9.099,-9.614,-9.29,-9.685
MK14,MK14_active_L000056,active,development_train,-9.818,-9.448,-10.51,-9.192
MK14,MK14_active_L000070,active,development_validation,-9.857,-9.922,-10.42,-10.56
MK14,MK14_active_L000071,active,development_validation,-8.084,-9.013,-8.901,-9.105
MK14,MK14_active_L000078,active,development_train,-8.208,-7.777,-8.167,-9.167
MK14,MK14_active_L000082,active,development_train,-9.694,-10.84,-10.37,-11.24
MK14,MK14_active_L000084,active,development_train,-9.507,-9.415,-11.0,-11.74
MK14,MK14_active_L000086,active,development_train,-9.824,-9.342,-8.479,-8.508
MK14,MK14_active_L000090,active,development_train,-8.144,-9.486,-8.472,-8.823
MK14,MK14_active_L000094,active,development_train,-8.769,-9.016,-8.977,-10.79
MK14,MK14_active_L000095,active,development_validation,-9.548,-9.68,-9.656,-7.685
MK14,MK14_active_L000098,active,development_train,-8.652,-8.968,-8.143,-7.3
MK14,MK14_active_L000102,active,development_validation,-8.836,-10.66,-9.444,-10.89
MK14,MK14_active_L000114,active,development_train,-10.33,-8.563,-10.85,-11.39
MK14,MK14_active_L000123,active,development_train,-9.377,-8.984,-9.215,-9.633
MK14,MK14_active_L000126,active,development_train,-8.113,-7.87,-8.606,-8.86
MK14,MK14_active_L000127,active,development_train,-7.417,-7.825,-8.304,-8.841
MK14,MK14_active_L000131,active,development_train,-9.473,-9.188,-11.8,-12.3
MK14,MK14_active_L000134,active,development_train,-9.607,-9.92,-11.64,-12.76
MK14,MK14_active_L000148,active,development_validation,-9.089,-9.278,-11.95,-13.17
MK14,MK14_active_L000160,active,development_train,-9.03,-9.213,-9.428,-11.37
MK14,MK14_active_L000163,active,development_train,-8.969,-10.46,-9.654,-10.37
MK14,MK14_active_L000164,active,development_train,-7.833,-7.804,-8.531,-9.39
MK14,MK14_active_L000169,active,development_train,-8.74,-8.711,-8.689,-8.577
MK14,MK14_active_L000172,active,development_validation,-9.966,-9.646,-10.66,-10.9
MK14,MK14_active_L000178,active,development_validation,-9.333,-8.618,-9.288,-10.36
MK14,MK14_active_L000179,active,development_train,-8.978,-8.173,-8.859,-8.014
MK14,MK14_active_L000197,active,development_validation,-9.792,-8.97,-10.24,-10.32
MK14,MK14_active_L000212,active,development_train,-8.233,-8.44,-10.52,-11.48
MK14,MK14_active_L000214,active,development_validation,-8.731,-11.24,-9.707,-9.326
MK14,MK14_active_L000216,active,development_train,-9.331,-8.862,-9.511,-10.1
MK14,MK14_active_L000224,active,development_train,-9.018,-10.29,-9.941,-10.95
MK14,MK14_active_L000227,active,development_train,-7.844,-9.0,-9.682,-10.51
MK14,MK14_active_L000231,active,development_validation,-8.584,-8.44,-10.5,-10.97
MK14,MK14_active_L000244,active,development_validation,-8.442,-9.953,-9.091,-9.817
MK14,MK14_active_L000251,active,development_validation,-8.826,-8.803,-8.802,-10.41
MK14,MK14_active_L000256,active,development_train,-9.544,-8.69,-9.472,-10.16
MK14,MK14_active_L000259,active,development_train,-7.602,-9.248,-9.719,-9.462
MK14,MK14_active_L000263,active,development_train,-10.02,-10.03,-9.599,-9.982
MK14,MK14_active_L000271,active,development_validation,-9.018,-9.464,-11.85,-12.56
MK14,MK14_active_L000283,active,development_train,-9.842,-8.933,-11.56,-12.58
MK14,MK14_active_L000288,active,development_train,-8.751,-8.331,-11.41,-12.72
MK14,MK14_active_L000290,active,development_validation,-8.426,-9.327,-8.724,-8.356
MK14,MK14_active_L000294,active,development_train,-8.452,-8.065,-8.772,-10.36
MK14,MK14_active_L000295,active,development_train,-10.84,-9.871,-9.854,-10.22
MK14,MK14_active_L000296,active,development_train,-10.16,-10.26,-13.49,-14.41
MK14,MK14_active_L000297,active,development_train,-11.86,-9.972,-11.5,-12.97
MK14,MK14_active_L000298,active,development_validation,-8.065,-8.183,-8.454,-8.682
MK14,MK14_active_L000300,active,development_validation,-9.997,-8.427,-10.94,-11.05
