target_id,ligand_id,label,receptor_id,representative_score,representative_method,status,pose_count,best_pose_rank,best_docking_score,ranking_score,ligand_median_score,delta_from_ligand_median,search_quality_warning,search_quality_warning_reasons
MK14,MK14_active_L000002,active,MK14_1A9U_aligned,-7.539,pose_rank_1,ok,1,1,-7.539,7.539,-7.5285,-0.0105,False,
MK14,MK14_active_L000002,active,MK14_2QD9_reference,-7.521,pose_rank_1,ok,1,1,-7.521,7.521,-7.5285,0.0075,False,
MK14,MK14_active_L000002,active,MK14_3K3J_aligned,-7.216,pose_rank_1,ok,1,1,-7.216,7.216,-7.5285,0.3125,False,
MK14,MK14_active_L000002,active,MK14_3KQ7_aligned,-7.536,pose_rank_1,ok,1,1,-7.536,7.536,-7.5285,-0.0075,False,
MK14,MK14_active_L000003,active,MK14_1A9U_aligned,-9.129,pose_rank_1,ok,1,1,-9.129,9.129,-10.91,1.781,False,
MK14,MK14_active_L000003,active,MK14_2QD9_reference,-10.78,pose_rank_1,ok,1,1,-10.78,10.78,-10.91,0.13,False,
MK14,MK14_active_L000003,active,MK14_3K3J_aligned,-11.04,pose_rank_1,ok,1,1,-11.04,11.04,-10.91,-0.13,False,
MK14,MK14_active_L000003,active,MK14_3KQ7_aligned,-11.17,pose_rank_1,ok,1,1,-11.17,11.17,-10.91,-0.26,False,
MK14,MK14_active_L000004,active,MK14_1A9U_aligned,-6.763,pose_rank_1,ok,1,1,-6.763,6.763,-6.5455,-0.2175,False,
MK14,MK14_active_L000004,active,MK14_2QD9_reference,-6.328,pose_rank_1,ok,1,1,-6.328,6.328,-6.5455,0.2175,False,
MK14,MK14_active_L000004,active,MK14_3K3J_aligned,-5.909,pose_rank_1,ok,1,1,-5.909,5.909,-6.5455,0.6365,False,
MK14,MK14_active_L000004,active,MK14_3KQ7_aligned,-6.78,pose_rank_1,ok,1,1,-6.78,6.78,-6.5455,-0.2345,False,
MK14,MK14_active_L000005,active,MK14_1A9U_aligned,-8.674,pose_rank_1,ok,1,1,-8.674,8.674,-8.9095,0.2355,False,
MK14,MK14_active_L000005,active,MK14_2QD9_reference,-8.189,pose_rank_1,ok,1,1,-8.189,8.189,-8.9095,0.7205,False,
MK14,MK14_active_L000005,active,MK14_3K3J_aligned,-9.145,pose_rank_1,ok,1,1,-9.145,9.145,-8.9095,-0.2355,False,
MK14,MK14_active_L000005,active,MK14_3KQ7_aligned,-9.412,pose_rank_1,ok,1,1,-9.412,9.412,-8.9095,-0.5025,False,
MK14,MK14_active_L000008,active,MK14_1A9U_aligned,-10.3,pose_rank_1,ok,1,1,-10.3,10.3,-10.575,0.275,False,
MK14,MK14_active_L000008,active,MK14_2QD9_reference,-9.017,pose_rank_1,ok,1,1,-9.017,9.017,-10.575,1.558,False,
MK14,MK14_active_L000008,active,MK14_3K3J_aligned,-10.85,pose_rank_1,ok,1,1,-10.85,10.85,-10.575,-0.275,False,
MK14,MK14_active_L000008,active,MK14_3KQ7_aligned,-12.01,pose_rank_1,ok,1,1,-12.01,12.01,-10.575,-1.435,False,
