matrix,target_size,aggregation,subset_count,interpretation,roc_auc_minimum,roc_auc_q05,roc_auc_median,roc_auc_mean,roc_auc_population_std,roc_auc_q95,roc_auc_maximum,pr_auc_average_precision_minimum,pr_auc_average_precision_q05,pr_auc_average_precision_median,pr_auc_average_precision_mean,pr_auc_average_precision_population_std,pr_auc_average_precision_q95,pr_auc_average_precision_maximum,bedroc_alpha_20_minimum,bedroc_alpha_20_q05,bedroc_alpha_20_median,bedroc_alpha_20_mean,bedroc_alpha_20_population_std,bedroc_alpha_20_q95,bedroc_alpha_20_maximum,EF5%_minimum,EF5%_q05,EF5%_median,EF5%_mean,EF5%_population_std,EF5%_q95,EF5%_maximum
primary,1,min_score,4,exact uniform distribution over every fixed-size subset,0.6878125,0.689453125,0.7128125000000001,0.718359375,0.02794680965552016,0.7550312499999999,0.76,0.7407848138521367,0.7415807825053944,0.7498558388171241,0.7587079097842003,0.02106893269804108,0.788227936416913,0.7943351476504164,0.9241831522815438,0.9260426171653311,0.940602768622332,0.9444540141160721,0.017716182622224422,0.9682571547580492,0.9724273669380805,2.0,2.0,2.0,2.0,0.0,2.0,2.0
primary,2,min_score,6,exact uniform distribution over every fixed-size subset,0.705,0.709375,0.755625,0.7504166666666666,0.028878036155913063,0.7843749999999999,0.786875,0.7596762549350886,0.7619027501529851,0.7936296017699584,0.7946241648174314,0.02679754483704735,0.8284861665674322,0.8308586858234109,0.9333740904409523,0.941446466004443,0.9760207576482649,0.971347413041057,0.018920587919571966,0.9890855236121433,0.9896684073173143,2.0,2.0,2.0,2.0,0.0,2.0,2.0
primary,2,mean_score,6,exact uniform distribution over every fixed-size subset,0.69875,0.7009375,0.7525,0.7468750000000001,0.036345062135958256,0.7890625,0.793125,0.7456915684800531,0.7466052473949455,0.7942395744750627,0.7898791102556828,0.035285838415149214,0.8283910025941803,0.8289031752062126,0.9365117093915246,0.9417037429887075,0.9706714521371906,0.9687355923810941,0.0194251049324475,0.9909809702568779,0.9933223920935547,2.0,2.0,2.0,2.0,0.0,2.0,2.0
primary,3,min_score,4,exact uniform distribution over every fixed-size subset,0.72125,0.7299687499999999,0.78,0.768125,0.02745379641324678,0.78965625,0.79125,0.7676382519037206,0.7768844451862457,0.8299325376139272,0.8151019829749643,0.02743393255760019,0.8325567442691347,0.8329046047682821,0.9692742372650858,0.9723335402539619,0.9900418493323262,0.9849501257990587,0.009055783302972737,0.9904382983975808,0.9904425672664965,2.0,2.0,2.0,2.0,0.0,2.0,2.0
primary,3,mean_score,4,exact uniform distribution over every fixed-size subset,0.71875,0.7271875000000001,0.7784375,0.76453125,0.026595108660945527,0.78240625,0.7825,0.759517017141644,0.7680970496098256,0.8179689408188373,0.8060694541911936,0.027254259372777312,0.8273825774938602,0.8288229179854556,0.9523598170491329,0.9560127437585783,0.9809415277498197,0.9762244414639182,0.014646046050990125,0.9898322183689959,0.9906548933069005,2.0,2.0,2.0,2.0,0.0,2.0,2.0
sensitivity,1,min_score,4,exact uniform distribution over every fixed-size subset,0.685,0.6856562500000001,0.7129687499999999,0.718125,0.03221252061504968,0.7578125000000001,0.7615625,0.7364508143867772,0.7379371987385589,0.7590987455889276,0.7627304115404755,0.023273764083308196,0.7926079566745591,0.7962733405972696,0.9238751600453491,0.9271125405105293,0.9477521870999135,0.9483994348279282,0.017884463815691816,0.9705924759645478,0.9742182050665369,2.0,2.0,2.0,2.0,0.0,2.0,2.0
sensitivity,2,min_score,6,exact uniform distribution over every fixed-size subset,0.69625,0.70125,0.7553125,0.7484375,0.032887315500559365,0.7865625,0.789375,0.7593685770771559,0.7609481914138327,0.7967104764977734,0.7953253425151425,0.02756687368410964,0.8298658561114113,0.8329939669256783,0.9302337252868277,0.9399486282811109,0.9773218411352149,0.9717438805353077,0.01992737192763313,0.9889415041102658,0.9896367390252179,2.0,2.0,2.0,2.0,0.0,2.0,2.0
sensitivity,2,mean_score,6,exact uniform distribution over every fixed-size subset,0.694375,0.6978125,0.7509375,0.7471875,0.038799951004049815,0.7943749999999999,0.799375,0.7448202478768882,0.7462868686208469,0.7972121406258443,0.7922528011108242,0.0364673887404073,0.8338646825236167,0.8359365917054111,0.9388518034915094,0.9422838586950042,0.9721228951010603,0.9685794960945362,0.019092537430344014,0.9903458338623568,0.9927919884406641,2.0,2.0,2.0,2.0,0.0,2.0,2.0
sensitivity,3,min_score,4,exact uniform distribution over every fixed-size subset,0.71375,0.7231249999999999,0.7793749999999999,0.76640625,0.03099387225222914,0.7915312499999999,0.793125,0.7673949031875282,0.7765064459446768,0.8304272230445368,0.8157432026886873,0.028015734440146847,0.8344223309345087,0.8347234614781476,0.9701540897657952,0.973076640855658,0.990022693374341,0.9851588270674488,0.008668904956527045,0.9904316004495904,0.9904358317553181,2.0,2.0,2.0,2.0,0.0,2.0,2.0
sensitivity,3,mean_score,4,exact uniform distribution over every fixed-size subset,0.718125,0.726375,0.7784374999999999,0.76625,0.028432348434485666,0.7890625,0.79,0.7650072744435964,0.7735044087729835,0.8219358620154857,0.8101023275480044,0.02632938162284391,0.8301332980685515,0.8315303117174497,0.9568557416755571,0.9596718885989589,0.9810233860818904,0.9774488161817355,0.013120072875915583,0.9902213459042951,0.990892750887604,2.0,2.0,2.0,2.0,0.0,2.0,2.0
