matrix,target_size,aggregation,subset,ligand_count,active_count,roc_auc,pr_auc_average_precision,bedroc_alpha_20,EF1%,EF5%,EF10%,top10_active_count
primary,1,min_score,MK14_2QD9_reference,80,40,0.76,0.7943351476504164,0.9724273669380805,2.0,2.0,2.0,10
primary,1,min_score,MK14_1A9U_aligned,80,40,0.69875,0.7407848138521367,0.9446259524045385,2.0,2.0,2.0,9
primary,1,min_score,MK14_3K3J_aligned,80,40,0.726875,0.753620406093727,0.9365795848401256,2.0,2.0,2.0,9
primary,1,min_score,MK14_3KQ7_aligned,80,40,0.6878125,0.7460912715405212,0.9241831522815438,2.0,2.0,1.75,9
primary,2,min_score,MK14_2QD9_reference+MK14_1A9U_aligned,80,40,0.761875,0.807394191779515,0.9804168295156921,2.0,2.0,2.0,10
primary,2,min_score,MK14_2QD9_reference+MK14_3K3J_aligned,80,40,0.786875,0.8308586858234109,0.9896684073173143,2.0,2.0,2.0,10
primary,2,min_score,MK14_2QD9_reference+MK14_3KQ7_aligned,80,40,0.776875,0.8213686087994964,0.98733687249663,2.0,2.0,2.0,10
primary,2,min_score,MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.705,0.7596762549350886,0.9716246857808377,2.0,2.0,2.0,10
primary,2,min_score,MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.7225,0.768582235806675,0.9656635926949149,2.0,2.0,2.0,10
primary,2,min_score,MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.749375,0.7798650117604019,0.9333740904409523,2.0,2.0,2.0,8
primary,2,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned,80,40,0.776875,0.8289031752062126,0.9933223920935547,2.0,2.0,2.0,10
primary,2,mean_score,MK14_2QD9_reference+MK14_3K3J_aligned,80,40,0.793125,0.8268544847580832,0.9818675968117295,2.0,2.0,2.0,10
primary,2,mean_score,MK14_2QD9_reference+MK14_3KQ7_aligned,80,40,0.774375,0.8159997474242768,0.9839567047468477,2.0,2.0,2.0,10
primary,2,mean_score,MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.730625,0.7724794015258485,0.9594753074626517,2.0,2.0,2.0,10
primary,2,mean_score,MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.69875,0.7493462841396227,0.957279843780256,2.0,2.0,2.0,9
primary,2,mean_score,MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.7075,0.7456915684800531,0.9365117093915246,2.0,2.0,2.0,9
primary,3,min_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.780625,0.8305855347739662,0.9904425672664965,2.0,2.0,2.0,10
primary,3,min_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.779375,0.8292795404538881,0.9904141081403919,2.0,2.0,2.0,10
primary,3,min_score,MK14_2QD9_reference+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.79125,0.8329046047682821,0.9896695905242605,2.0,2.0,2.0,10
primary,3,min_score,MK14_1A9U_aligned+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.72125,0.7676382519037206,0.9692742372650858,2.0,2.0,2.0,10
primary,3,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.7825,0.8288229179854556,0.9906548933069005,2.0,2.0,2.0,10
primary,3,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.775,0.8192206480414864,0.98517039372087,2.0,2.0,2.0,10
primary,3,mean_score,MK14_2QD9_reference+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.781875,0.8167172335961883,0.9767126617787693,2.0,2.0,2.0,10
primary,3,mean_score,MK14_1A9U_aligned+MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.71875,0.759517017141644,0.9523598170491329,2.0,2.0,2.0,9
sensitivity,1,min_score,MK14_2QD9_reference,80,40,0.7615625,0.7962733405972696,0.9742182050665369,2.0,2.0,2.0,10
sensitivity,1,min_score,MK14_1A9U_aligned,80,40,0.685,0.7364508143867772,0.9454576964798839,2.0,2.0,2.0,9
sensitivity,1,min_score,MK14_3K3J_aligned,80,40,0.7365625,0.7718374477791998,0.950046677719943,2.0,2.0,2.0,9
sensitivity,1,min_score,MK14_3KQ7_aligned,80,40,0.689375,0.7463600433986555,0.9238751600453491,2.0,2.0,1.75,9
sensitivity,2,min_score,MK14_2QD9_reference+MK14_1A9U_aligned,80,40,0.7615625,0.8096077815168501,0.9818897059915433,2.0,2.0,2.0,10
sensitivity,2,min_score,MK14_2QD9_reference+MK14_3K3J_aligned,80,40,0.789375,0.8329939669256783,0.9896367390252179,2.0,2.0,2.0,10
sensitivity,2,min_score,MK14_2QD9_reference+MK14_3KQ7_aligned,80,40,0.778125,0.8204815236686104,0.9868557993654095,2.0,2.0,2.0,10
sensitivity,2,min_score,MK14_1A9U_aligned+MK14_3K3J_aligned,80,40,0.69625,0.7593685770771559,0.9727539762788865,2.0,2.0,2.0,10
sensitivity,2,min_score,MK14_1A9U_aligned+MK14_3KQ7_aligned,80,40,0.71625,0.7656870344238637,0.9690933372639607,2.0,2.0,2.0,10
sensitivity,2,min_score,MK14_3K3J_aligned+MK14_3KQ7_aligned,80,40,0.7490625,0.7838131714786967,0.9302337252868277,2.0,2.0,1.75,8
sensitivity,2,mean_score,MK14_2QD9_reference+MK14_1A9U_aligned,80,40,0.7725,0.8276489549782335,0.9927919884406641,2.0,2.0,2.0,10
