method,family,target_size,aggregation,mean_inner_roc_auc,mean_inner_pr_auc,mean_inner_bedroc_alpha_20,selection_metric_std,inner_subsets,config
single_best,single_best,1,min_score,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"[[""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""single_best"", ""target_size"": 1}"
exhaustive,exhaustive,1,min_score,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"[[""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""exhaustive"", ""target_size"": 1}"
exhaustive,exhaustive,2,min_score,0.71625,0.7354544133690077,0.8145140892055663,0.16645477033022515,"[[""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""exhaustive"", ""target_size"": 2}"
exhaustive,exhaustive,2,mean_score,0.69875,0.7166685483552119,0.8353055983188844,0.16150909053102522,"[[""MK14_1A9U_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""exhaustive"", ""target_size"": 2}"
exhaustive,exhaustive,3,min_score,0.768125,0.7751596038075734,0.8714811111920204,0.11120549999603337,"[[""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""exhaustive"", ""target_size"": 3}"
exhaustive,exhaustive,3,mean_score,0.713125,0.7331775583968219,0.8594946437028033,0.16660062235721995,"[[""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""exhaustive"", ""target_size"": 3}"
greedy,greedy,1,min_score,0.6975,0.7464910803238923,0.8766352267454409,0.17490465561019877,"[[""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""], [""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""greedy"", ""target_size"": 1}"
greedy,greedy,2,min_score,0.71625,0.7354544133690077,0.8145140892055663,0.16645477033022515,"[[""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""greedy"", ""target_size"": 2}"
greedy,greedy,2,mean_score,0.69875,0.7166685483552119,0.8353055983188844,0.16150909053102522,"[[""MK14_1A9U_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3KQ7_aligned""], [""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""greedy"", ""target_size"": 2}"
greedy,greedy,3,min_score,0.768125,0.7751596038075734,0.8714811111920204,0.11120549999603337,"[[""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""greedy"", ""target_size"": 3}"
greedy,greedy,3,mean_score,0.713125,0.7331775583968219,0.8594946437028033,0.16660062235721995,"[[""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""greedy"", ""target_size"": 3}"
all_receptors,all_receptors,4,min_score,0.728125,0.7198867070269697,0.8019099533780004,0.06044840814313294,"[[""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""min_score"", ""family"": ""all_receptors"", ""target_size"": 4}"
all_receptors,all_receptors,4,mean_score,0.730625,0.7452640002551502,0.8526189557954231,0.20265508697307968,"[[""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""], [""MK14_2QD9_reference"", ""MK14_1A9U_aligned"", ""MK14_3K3J_aligned"", ""MK14_3KQ7_aligned""]]","{""aggregation"": ""mean_score"", ""family"": ""all_receptors"", ""target_size"": 4}"
