target_id,outer_fold,method,selected_k,adaptive_k,selected_receptor_ids,test_bedroc_alpha_20,test_roc_auc,test_pr_auc_average_precision,test_EF1%,test_EF5%,test_EF10%
MK14,1,qubo,2,2,1DI9+1KV2,0.7169525122667242,0.7369791666666666,0.5245910347768702,5.0,5.0,2.9166666666666665
MK14,1,linear,2,2,1DI9+1KV2,0.7169525122667242,0.7369791666666666,0.5245910347768702,5.0,5.0,2.9166666666666665
MK14,1,greedy,2,2,1DI9+1KV2,0.7169525122667242,0.7369791666666666,0.5245910347768702,5.0,5.0,2.9166666666666665
MK14,1,single,1,2,1KV2,0.6327511513803628,0.7033420138888888,0.4715873541539119,5.0,4.166666666666667,2.5
MK14,2,qubo,1,1,1KV2,0.5253509755883277,0.724609375,0.4267052026713278,5.0,3.333333333333333,2.0833333333333335
MK14,2,linear,1,1,1KV2,0.5253509755883277,0.724609375,0.4267052026713278,5.0,3.333333333333333,2.0833333333333335
MK14,2,greedy,1,1,1KV2,0.5253509755883277,0.724609375,0.4267052026713278,5.0,3.333333333333333,2.0833333333333335
MK14,2,single,1,1,1KV2,0.5253509755883277,0.724609375,0.4267052026713278,5.0,3.333333333333333,2.0833333333333335
MK14,3,qubo,2,2,1DI9+1KV2,0.8697201297439036,0.8524305555555556,0.70233813459318,5.0,5.0,4.583333333333333
MK14,3,linear,2,2,1KV2+1W83,0.6913621047564913,0.7829861111111112,0.5479330995496572,5.0,3.333333333333333,3.333333333333333
MK14,3,greedy,2,2,1DI9+1KV2,0.8697201297439036,0.8524305555555556,0.70233813459318,5.0,5.0,4.583333333333333
MK14,3,single,1,2,1KV2,0.7149673345573841,0.8166232638888888,0.5983298741831511,5.0,3.333333333333333,3.75
MK14,4,qubo,2,2,1DI9+1KV2,0.6857465029039418,0.8611111111111112,0.6042485824435665,5.0,3.333333333333333,2.9166666666666665
MK14,4,linear,2,2,1DI9+1KV2,0.6857465029039418,0.8611111111111112,0.6042485824435665,5.0,3.333333333333333,2.9166666666666665
MK14,4,greedy,2,2,1DI9+1KV2,0.6857465029039418,0.8611111111111112,0.6042485824435665,5.0,3.333333333333333,2.9166666666666665
MK14,4,single,1,2,1KV2,0.6884722737250594,0.8170572916666666,0.5664240809639508,5.0,4.166666666666667,2.5
MK14,5,qubo,1,1,1KV2,0.8173357314435942,0.7105034722222222,0.5850408350374027,5.0,5.0,3.75
MK14,5,linear,1,1,1KV2,0.8173357314435942,0.7105034722222222,0.5850408350374027,5.0,5.0,3.75
MK14,5,greedy,1,1,1KV2,0.8173357314435942,0.7105034722222222,0.5850408350374027,5.0,5.0,3.75
MK14,5,single,1,1,1KV2,0.8173357314435942,0.7105034722222222,0.5850408350374027,5.0,5.0,3.75
BACE1,1,qubo,1,1,2QMF,0.6277756969916076,0.6970486111111112,0.46775894802603735,2.5,3.333333333333333,2.9166666666666665
BACE1,1,linear,1,1,2QMF,0.6277756969916076,0.6970486111111112,0.46775894802603735,2.5,3.333333333333333,2.9166666666666665
BACE1,1,greedy,1,1,2QMF,0.6277756969916076,0.6970486111111112,0.46775894802603735,2.5,3.333333333333333,2.9166666666666665
BACE1,1,single,1,1,2QMF,0.6277756969916076,0.6970486111111112,0.46775894802603735,2.5,3.333333333333333,2.9166666666666665
BACE1,2,qubo,1,1,2QMF,0.736072920166482,0.7907986111111112,0.594439214192815,2.5,4.166666666666667,3.333333333333333
BACE1,2,linear,1,1,2QMF,0.736072920166482,0.7907986111111112,0.594439214192815,2.5,4.166666666666667,3.333333333333333
BACE1,2,greedy,1,1,2QMF,0.736072920166482,0.7907986111111112,0.594439214192815,2.5,4.166666666666667,3.333333333333333
BACE1,2,single,1,1,2QMF,0.736072920166482,0.7907986111111112,0.594439214192815,2.5,4.166666666666667,3.333333333333333
BACE1,3,qubo,2,2,2QMF+2VKM,0.8659837493041791,0.8389756944444444,0.692792378251267,5.0,5.0,4.166666666666667
BACE1,3,linear,2,2,2QMF+2VKM,0.8659837493041791,0.8389756944444444,0.692792378251267,5.0,5.0,4.166666666666667
BACE1,3,greedy,2,2,2QMF+2VKM,0.8659837493041791,0.8389756944444444,0.692792378251267,5.0,5.0,4.166666666666667
BACE1,3,single,1,2,2QMF,0.9382353619618987,0.8982204861111112,0.8039317412691238,5.0,5.0,5.0
BACE1,4,qubo,1,1,2QMF,0.8744726605914288,0.8546006944444444,0.7493313505761905,5.0,4.166666666666667,4.583333333333333
BACE1,4,linear,1,1,2QMF,0.8744726605914288,0.8546006944444444,0.7493313505761905,5.0,4.166666666666667,4.583333333333333
BACE1,4,greedy,1,1,2QMF,0.8744726605914288,0.8546006944444444,0.7493313505761905,5.0,4.166666666666667,4.583333333333333
BACE1,4,single,1,1,2QMF,0.8744726605914288,0.8546006944444444,0.7493313505761905,5.0,4.166666666666667,4.583333333333333
BACE1,5,qubo,1,1,2QMF,0.6916360676870922,0.6740451388888888,0.5077501591669878,5.0,4.166666666666667,2.5
BACE1,5,linear,1,1,2QMF,0.6916360676870922,0.6740451388888888,0.5077501591669878,5.0,4.166666666666667,2.5
