target_id,comparison,metric,mean_delta,worst_fold_delta,best_fold_delta,positive_fold_fraction,fold_deltas
BACE1,qubo_minus_single,bedroc_alpha_20,-0.014450322531543925,-0.07225161265771962,0.0,0.0,0.000000|0.000000|-0.072252|0.000000|0.000000
BACE1,qubo_minus_single,roc_auc,-0.011848958333333348,-0.05924479166666674,0.0,0.0,0.000000|0.000000|-0.059245|0.000000|0.000000
BACE1,qubo_minus_single,pr_auc_average_precision,-0.022227872603571352,-0.11113936301785676,0.0,0.0,0.000000|0.000000|-0.111139|0.000000|0.000000
BACE1,qubo_minus_single,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_single,EF5%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_single,EF10%,-0.1666666666666666,-0.833333333333333,0.0,0.0,0.000000|0.000000|-0.833333|0.000000|0.000000
BACE1,qubo_minus_linear,bedroc_alpha_20,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_linear,roc_auc,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_linear,pr_auc_average_precision,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_linear,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_linear,EF5%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_linear,EF10%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_greedy,bedroc_alpha_20,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_greedy,roc_auc,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_greedy,pr_auc_average_precision,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_greedy,EF1%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_greedy,EF5%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
BACE1,qubo_minus_greedy,EF10%,0.0,0.0,0.0,0.0,0.000000|0.000000|0.000000|0.000000|0.000000
ESR1,qubo_minus_single,bedroc_alpha_20,0.0361124030437072,0.0,0.09556874570721696,0.4,0.000000|0.000000|0.000000|0.095569|0.084993
ESR1,qubo_minus_single,roc_auc,0.010286458333333326,0.0,0.04296875,0.4,0.000000|0.000000|0.000000|0.042969|0.008464
