target_id,method,outer_fold_count,mean_selected_k,mean_test_bedroc_alpha_20,mean_test_roc_auc,mean_test_pr_auc_average_precision,mean_test_EF1%,mean_test_EF5%,mean_test_EF10%
BACE1,greedy,5,1.2,0.7591882189481579,0.77109375,0.6024144100426596,4.0,4.166666666666667,3.5
BACE1,linear,5,1.2,0.7591882189481579,0.77109375,0.6024144100426596,4.0,4.166666666666667,3.5
BACE1,qubo,5,1.2,0.7591882189481579,0.77109375,0.6024144100426596,4.0,4.166666666666667,3.5
BACE1,single,5,1.0,0.7736385414797018,0.7829427083333333,0.6246422826462309,4.0,4.166666666666667,3.6666666666666665
ESR1,greedy,5,1.4,0.8227097205279119,0.8422309027777779,0.6822912954157887,5.0,4.5,3.833333333333333
ESR1,linear,5,1.4,0.8227097205279119,0.8422309027777779,0.6822912954157887,5.0,4.5,3.833333333333333
ESR1,qubo,5,1.4,0.8227097205279119,0.8422309027777779,0.6822912954157887,5.0,4.5,3.833333333333333
ESR1,single,5,1.0,0.7865973174842048,0.8319444444444445,0.6458460389040712,5.0,4.333333333333334,3.5833333333333335
MK14,greedy,5,1.6,0.7230211703892983,0.777126736111111,0.5685847579044694,5.0,4.333333333333333,3.25
MK14,linear,5,1.6,0.6873495653918158,0.7632378472222222,0.5377037508957649,5.0,4.0,3.0
MK14,qubo,5,1.6,0.7230211703892983,0.777126736111111,0.5685847579044694,5.0,4.333333333333333,3.25
MK14,single,5,1.0,0.6757754933389457,0.7544270833333333,0.5296174694019489,5.0,4.0,2.916666666666667
PPARA,greedy,5,2.8,0.6556672046714052,0.8541666666666666,0.6273060084807026,3.0,3.3333333333333335,3.3333333333333335
PPARA,linear,5,2.8,0.642093658447741,0.8565104166666666,0.6253420614861385,3.0,3.3333333333333335,3.3333333333333335
PPARA,qubo,5,2.8,0.6398960014838249,0.853732638888889,0.621165373762244,2.5,3.3333333333333335,3.3333333333333335
PPARA,single,5,1.0,0.5503590400892253,0.8536024305555555,0.5817526819619088,2.5,2.5,2.833333333333333
PPARG,greedy,5,1.6,0.6037104972145659,0.743923611111111,0.4861386095015902,4.0,3.5,2.833333333333333
PPARG,linear,5,1.6,0.5614255194086839,0.7382378472222222,0.46341082234882014,4.0,2.9999999999999996,2.583333333333333
PPARG,qubo,5,1.6,0.5761417916572367,0.7397135416666666,0.4697537374121265,4.0,3.1666666666666665,2.75
PPARG,single,5,1.0,0.5219748217782504,0.7346354166666667,0.4459674604700131,3.5,2.833333333333333,2.333333333333333
